Name,SMILES,Molar Mass,CAS Number,Experimental Solubility in Water (mg/L),Temperature (deg C),Experiment Reference,,comment,Standard InChIKey
2-ethyl-4-iodophenol; 4-iodo-2-ethylphenol; 2-ethyl-4-iodo-phenol; 2-Aethyl-4-jod-phenol,CCC1=C(O)C=CC(I)=C1,248.063,277324-67-1,2100,25,"Article; Suter; Schuetz; Journal of Organic Chemistry; vol. 16; (1951); p. 1117,1119;",H2O,100 g solvent dissolves. 0.21 g Substance.,QLUFNWQXIPGNJN-UHFFFAOYSA-N
pin-2-en-10-ylamine; Pin-2-en-10-ylamin; 21-Amino-2.6.6-trimethyl-bicyclo-[1.3.3]-hepten-(2),CC1(C)C2CC1C(CN)=CC2,151.252,344747-67-7,,25,Article; Ishikawa; Naunyn-Schmiedebergs Archiv fuer Experimentelle Pathologie und Pharmakologie; vol. 126; (1927); p. 42;,H2O,9.99999E-02 ml solvent dissolves. 0.08 ml Substance.; omega-amino-pinen; optically-active form,QLYNKVYEESZNIS-UHFFFAOYSA-N
2-methyl-2-((1S)-cis-3-carboxy-cyclopentyl)-propionic acid; 2-Methyl-2-((1S)-cis-3-carboxy-cyclopentyl)-propionsaeure; Rechtsdrehende Camphencamphersaeure; d-cis-Camphensaeure,CC(C)([C@H]1CC[C@H](C1)C(O)=O)C(O)=O,200.235,473-35-8,2400,21,"Article; Aschan; Justus Liebigs Annalen der Chemie; vol. 375; (1910); p. 369; Justus Liebigs Annalen der Chemie; vol. 398; (1913); p. 303,312;",H2O,100 g solvent dissolves. 0.24 g Substance.,QSRHRQWRLFGZKS-RQJHMYQMSA-N
"5-(2-dimethylamino-ethyl)-5-methyl-imidazolidine-2,4-dione; 5-(2-Dimethylamino-aethyl)-5-methyl-imidazolidin-2,4-dion; DL-5-<2-Dimethylamino-aethyl>-5-methyl-hydantoin; 5-Methyl-5-(beta-dimethylaminoaethyl)-hydantoin; 5-(2-Dimethylamino-ethyl)-5-methyl-hydantoin",CN(C)CCC1(C)NC(=O)NC1=O,185.226,29519-15-1,155000,20,Patent; Cassella; US2615897; (1949);,H2O,Solubility :15.5 percent.,STYNCZTUFKTDAN-UHFFFAOYSA-N
N-(toluene-4-sulfonyl)-DL-threonine; N-(Toluol-4-sulfonyl)-DL-threonin; N-Tosyl-DL-threonin,[H][C@](C)(O)[C@]([H])(NS(=O)(=O)C1=CC=C(C)C=C1)C(O)=O,273.31,034235-88-6,3000,0,"Article; Izumiya; Nippon Kagaku Zasshi; vol. 72; (1951); p. 784,785; Chem.Abstr.; (1953); p. 1599;",H2O,100 g solvent dissolves. 0.3 g Substance.,SZILOGOOPIXJAQ-SCZZXKLOSA-N
"4-(2,6-dinitro-4-trifluoromethylphenyl)-morpholine; 4-(2,6-dinitro-4-trifluoromethyl-phenyl)-morpholine",FC(F)(F)C1=CC(=C(N2CCOCC2)C(=C1)N(=O)=O)N(=O)=O,321.213,36317-83-6,10,24,"Article; Benbow, John W.; Bernberg, Erin L.; Korda, Anna; Mead, Jan R.; Antimicrobial Agents and Chemotherapy; vol. 42; 2; (1998); p. 339 - 343;",H2O,Solubility: 0.001 weight-percent,TUHXNBNSYSMOOH-UHFFFAOYSA-N
"3-bromo-2,3-dichloropropenoic acid; 3-bromo-2,3-dichloro-acrylic acid; 3-Brom-2,3-dichlor-acrylsaeure",OC(=O)C(Cl)=C(Cl)Br,219.85,24910-86-9,69100,20,Article; Mabery; American Chemical Journal; vol. 9; (1887); p. 1;,H2O,6.91 part(s) of substance.dissolves in:100 parts of solvent.; substance of mp: 78-80 degree,TXFMWXZBXNRSAD-UHFFFAOYSA-N
"3-(3,4-dihydroxy-benzoyloxy)-4-hydroxy-benzoic acid; 3-(3,4-Dihydroxy-benzoyloxy)-4-hydroxy-benzoesaeure; 4-Hydroxy-3-protocatechuoyloxy-benzoesaeure; 4-Oxy-3-(3.4-dioxy-benzoyloxy)-benzoesaeure; protocatechuic acid (3,4-dihydroxybenzoic acid)",OC(=O)C1=CC(OC(=O)C2=CC(O)=C(O)C=C2)=C(O)C=C1,290.229,,400,20,"Article; Fischer,E.; Freudenberg; Justus Liebigs Annalen der Chemie; vol. 384; (1911); p. 233;",H2O,1 part(s) of substance.dissolves in:2500 parts of solvent.,UQTFXEREUZGKEP-UHFFFAOYSA-N
"(4-oxo-1,4-dihydro-[1,3]diazet-2-yl)-acetic acid ethyl ester; (4-Oxo-1,4-dihydro-[1,3]diazet-2-yl)-essigsaeure-aethylester",CCOC(=O)CC1=NC(=O)N1,156.141,,120,24,Article; Frerichs; Hartwig; Journal fuer Praktische Chemie (Leipzig); vol. <2> 72; (1905); p. 489;,H2O,1 part(s) of substance.dissolves in:8333 parts of solvent.,UYZMJRUQSRYXTC-UHFFFAOYSA-N
"4-ethyl-2,6-dihydroxy-5-methylnicotinonitrile; 4-ethyl-2,6-dihydroxy-5-methyl-nicotinonitrile; 4-Aethyl-2,6-dihydroxy-5-methyl-nicotinonitril",CCC1=C(C#N)C(O)=NC(O)=C1C,178.191,,2624.67,19,"Article; Sabbatani; Atti della Accademia delle Scienze di Torino, Classe di Scienze Fisiche, Matematiche e Naturali; vol. 32; p. 252,253; Chemisches Zentralblatt; vol. 68; I; (1897); p. 904;",H2O,1 part(s) of substance.dissolves in:381 parts of solvent.,VGEFPGCNILAPKW-UHFFFAOYSA-N
"2,3-dihydroxydecanoic acid; 2,3-dihydroxy-decanoic acid; 2.3-Dihydroxy-caprinsaeure; 2,3-Dihydroxy-decansaeure",CCCCCCCC(O)C(O)C(O)=O,204.266,104092-98-0,900,20,"Article; Breusch; Tulus; Istanbul Universitesi Fen Fakultesi Mecmuasi, Seri A: Matematik-Fizik-Kimya; vol. 12; (1947); p. 291; Chem.Abstr.; (1948); p. 6751;",H2O,Solubility :0.09 percent.,VHEZKXRFMYWRDX-UHFFFAOYSA-N
N-(4-bromo-2-methylphenyl)benzamide; benzoic acid-(4-bromo-2-methyl-anilide); Benzoesaeure-(4-brom-2-methyl-anilid); 5-Brom-2-benzamino-toluol,CC1=C(NC(=O)C2=CC=CC=C2)C=CC(Br)=C1,290.159,,900,20,"Article; Leulier; Arnoux; Bulletin de la Societe Chimique de France; vol. <4>47; (1930); p. 730,731;",H2O,Solubility :0.09 percent.,VLKRDTSTHRJSPQ-UHFFFAOYSA-N
3-iodo-2-methyl-butyric acid; 3-Jod-2-methyl-buttersaeure,CC(I)C(C)C(O)=O,228.03,408321-64-2,15500,20.5,Article; Wislicenus; Talbot; Henze; Justus Liebigs Annalen der Chemie; vol. 313; (1900); p. 241; Chemisches Zentralblatt; vol. 68; II; (1897); p. 261;,H2O,"1.55 part(s) of substance.dissolves in:100 parts of solvent.; lower-melting form,tiglic acid hydriodide",VOWVNPTZGMDWMB-UHFFFAOYSA-N
5-amino-1-hydroxy-naphthalene-2-sulfonic acid; 5-Amino-1-hydroxy-naphthalin-2-sulfonsaeure; 5-Amino-naphthol-(1)-sulfonsaeure-(2; 5-amino-1-hydroxynaphthalene-2-sulfonic acid,NC1=C2C=CC(=C(O)C2=CC=C1)S(O)(=O)=O,239.252,58596-07-9,1149.43,20,Patent; Akt.-Ges.f.Anilinf.; DE68564; Fortschr. Teerfarbenfabr. Verw. Industriezweige; vol. 3; p. 486;,H2O,1 part(s) of substance.dissolves in:870 parts of solvent.,WIBJYEYYELZZGS-UHFFFAOYSA-N
2-(4-chlorophenyl)-5-oxotetrahydrofuran-3-carboxylic acid; 2-(4-chloro-phenyl)-5-oxo-tetrahydro-furan-3-carboxylic acid; 2-(4-Chlor-phenyl)-5-oxo-tetrahydro-furan-3-carbonsaeure,OC(=O)C1CC(=O)OC1C1=CC=C(Cl)C=C1,240.643,851484-24-7,2000,16,"Article; Erdmann,H.; Kirchhoff; Justus Liebigs Annalen der Chemie; vol. 247; (1888); p. 368;",H2O,1 part(s) of substance.dissolves in:500 parts of solvent.; gamma-<4-chloro-phenyl>-butyrolactone-beta-carboxylic acid,WJCJCSBZEIWYTB-UHFFFAOYSA-N
"2-methylnonane-2,3-diol; 2-methyl-nonane-2,3-diol; 1.1-Dimethyl-2-hexyl-aethylenglykol; 2-Methyl-nonan-2,3-diol; alpha.alpha-Dimethyl-alpha'-n-hexyl-aethylenglykol; 2,3-Dihydroxy-2-methyl-nonan",CCCCCCC(O)C(C)(C)O,174.283,369383-55-1,1600,25,Article; Nicolle; Bulletin de la Societe Chimique de France; vol. <4>39; (1926); p. 65;,H2O,Solubility :0.16 percent.,WZMQUXUJOQIKJM-UHFFFAOYSA-N
"N,N'-bis-(2-ethyl-2-hydroxy-butyryl)-urea; N,N'-Bis-(2-aethyl-2-hydroxy-butyryl)-harnstoff; N.N'-Bis-(alpha-oxy-alpha-aethyl-butyryl)-harnstoff; N.N'-Bis-(alpha-oxy-diaethylacetyl)-harnstoff; N,N'-Bis-<2-aethyl-2-hydroxy-butyryl>-harnstoff",CCC(O)(CC)C(=O)NC(=O)NC(=O)C(O)(CC)CC,288.344,861534-39-6,65000,20,Article; Clemmensen; Heitman; American Chemical Journal; vol. 40; (1908); p. 296;,H2O,6.5 part(s) of substance.dissolves in:100 parts of solvent.,XGLCPYKWBZWKFZ-UHFFFAOYSA-N
"3-methyl-1-phenyl-butane-2,3-diol; 3-Methyl-1-phenyl-butan-2,3-diol; alpha.alpha-Dimethyl-alpha'-benzyl-aethylenglykol; (beta.gamma-Dioxy-isoamyl)-benzol; beta.gamma-Dioxy-beta-methyl-delta-phenyl-butan; 12.13-Dioxy-1-isoamyl-benzol",CC(C)(O)C(O)CC1=CC=CC=C1,180.247,220011-90-5,10000,20,Article; Levy; Bulletin de la Societe Chimique de France; vol. <4> 33; (1923); p. 1662;,H2O,100 g solvent dissolves. 1 g Substance.,YBSGWWNYRKIAPC-UHFFFAOYSA-N
"1,1,3-trioxo-2,3-dihydro-1lambda6-benz[d]isothiazole-4-carboxylic acid; 1,1,3-Trioxo-2,3-dihydro-1lambda6-benz[d]isothiazol-4-carbonsaeure",OC(=O)C1=CC=CC2=C1C(=O)NS2(=O)=O,227.197,,34000,20,Article; Zincke; Greune; Justus Liebigs Annalen der Chemie; vol. 427; (1922); p. 249;,H2O,3.4 part(s) of substance.dissolves in:100 parts of solvent.,YEEJPWQLQWYLRG-UHFFFAOYSA-N
5-amino-2-sulfo-benzoic acid; 5-Amino-2-sulfo-benzoesaeure; 5-Amino-benzoesaeure-sulfonsaeure-(2); o-sulphanilic acid,NC1=CC(C(O)=O)=C(C=C1)S(O)(=O)=O,217.202,,1000,25,Article; van Dorssen; Recueil des Travaux Chimiques des Pays-Bas; vol. 29; (1910); p. 383;,H2O,100 g solvent dissolves. 0.1 g Substance.,YWCCOGWABYRMHP-UHFFFAOYSA-N
3-amino-4-sulfo-benzoic acid; 3-Amino-4-sulfo-benzoesaeure; 3-Amino-benzoesaeure-sulfonsaeure-(4),NC1=C(C=CC(=C1)C(O)=O)S(O)(=O)=O,217.202,106206-23-9,800,25,Article; van Dorssen; Recueil des Travaux Chimiques des Pays-Bas; vol. 29; (1910); p. 383;,H2O,100 g solvent dissolves. 0.08 g Substance.,ZBMRNGRPUAFPMH-UHFFFAOYSA-N
"2-[N-(2-hydroxyethyl)-2,6-dinitro-4-(trifluoromethyl)anilino]ethanol  ",OCCN(CCO)C1=C(C=C(C=C1N(=O)=O)C(F)(F)F)N(=O)=O,339.228,17474-03-2,1290,24,"Article; Benbow, John W.; Bernberg, Erin L.; Korda, Anna; Mead, Jan R.; Antimicrobial Agents and Chemotherapy; vol. 42; 2; (1998); p. 339 - 343;",H2O,Solubility: 0.129 weight-percent,ATRPGRVCXBOGKH-UHFFFAOYSA-N
(+)-trans-isofenchocamphoric acid; (+)-trans-Isofenchocamphersaeure,CC1(C)C[C@@](C)(C[C@H]1C(O)=O)C(O)=O,200.235,470-64-4,4600,25,Article; Sandelin; Justus Liebigs Annalen der Chemie; vol. 396; (1913); p. 325;,H2O,100 g solvent dissolves. 0.46 g Substance.,BGAUMHAIAGXEFB-QUBYGPBYSA-N
"5-chloro-benzene-1,2,3-tricarboxylic acid; 5-Chlor-benzol-1,2,3-tricarbonsaeure; 5-Chlorhemimellitinsaeure",OC(=O)C1=CC(Cl)=CC(C(O)=O)=C1C(O)=O,244.588,29016-74-8,20300,9,"Article; Daschewskii; Petrenko; Zhurnal Obshchei Khimii; vol. 25; (1955); p. 1189,1193; engl. Ausg. S. 1139, 1141;",H2O,Solubility :2.03 percent.,CJFUSXTZNHJXBV-UHFFFAOYSA-N
"bis-(2,2-diethoxy-ethyl)-nitroso-amine; Bis-(2,2-diaethoxy-aethyl)-nitroso-amin; N-Nitroso-diacetylamin; N-Nitroso-bis(2,2-diaethoxyaethyl)amin",CCOC(CN(CC(OCC)OCC)N=O)OCC,278.349,67856-67-1,6944.44,19,"Article; Wolff; Marburg; Justus Liebigs Annalen der Chemie; vol. 363; (1908); p. 192,194;",H2O,1 part(s) of substance.dissolves in:144 parts of solvent.,CLLVHWHUSNPTPA-UHFFFAOYSA-N
3-nitro-phthalic acid-2-butyl ester; 3-Nitro-phthalsaeure-2-butylester,CCCCOC(=O)C1=C(C=CC=C1N(=O)=O)C(O)=O,267.238,6828-47-3,510,20,Article; Nicolet; Sacks; Journal of the American Chemical Society; vol. 47; (1925); p. 2348;,H2O,100 g solvent dissolves. 0.051 g Substance.,CLZJIDPTNPRSOZ-UHFFFAOYSA-N
"N,N-dimethyl-norleucine; alpha-Dimethylamino-n-capronsaeure; N,N-Dimethyl-norleucin; N,N-Dimethyl-norleucin",CCCCC(N(C)C)C(O)=O,159.228,1/3/5428,980000,15,Article; Duvillier; Bulletin de la Societe Chimique de France; vol. <3> 13; (1895); p. 487;,H2O,98 part(s) of substance.dissolves in:100 parts of solvent.in reinem Loesungsmittel:Loeslichkeit fuer die wasserhaltige Saeure.,CXLSDGHWWXDHEE-UHFFFAOYSA-N
"2,5,7-trimethyl-4a,7,8,8a-tetrahydro-4H,5H-pyrano[4,3-b]pyran-3-carboxylic acid; 2,5,7-Trimethyl-4a,7,8,8a-tetrahydro-4H,5H-pyrano[4,3-b]pyran-3-carbonsaeure",CC1CC2OC(C)=C(CC2C(C)O1)C(O)=O,226.273,854697-97-5,50,15,Article; Badoche; Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences; vol. 215; (1942); p. 142;,H2O,100 g solvent dissolves. 0.005 g Substance.,DALHPBIDFWOPKT-UHFFFAOYSA-N
"4,6-dimethyl[1,2,5]selenadiazolo[3,4-d]pyrimidine-5,7(4H,6H)-dione; 4,6-dimethyl-4H-[1,2,5]selenadiazolo[3,4-d]pyrimidine-5,7-dione; 4,6-Dimethyl-4H-[1,2,5]selenadiazolo[3,4-d]pyrimidin-5,7-dion; 4.6-Dioxo-5.7-dimethyl-pyrimidin<2.1.3>selendiazol",CN1C2=N[Se]N=C2C(=O)N(C)C1=O,245.099,3434-54-6,1230.01,20,Article; Sachs; Meyerheim; Chemische Berichte; vol. 41; (1908); p. 3964;,H2O,1 part(s) of substance.dissolves in:813 parts of solvent.,DBYGTBWHDSPWSZ-UHFFFAOYSA-N
(E)-4-(methylamino)-4-oxobut-2-enoic acid; N-methyl-fumaramic acid; N-Methyl-fumaramidsaeure; Fumarsaeure-mono-methylamid; (E)-4-(methylamino)-4-oxo-2-butenoic acid; fumaric mono(methyl)amide,CNC(=O)\C=C\C(O)=O,129.115,124378-37-6,5860,10,"Article; Koerner; Menozzi; Atti della Accademia Nazionale dei Lincei, Classe di Scienze Fisiche, Matematiche e Naturali, Rendiconti; vol. <5>3 I; (1894); p. 158; Gazzetta Chimica Italiana; vol. 25 I; (1895); p. 98;",H2O,0.586 part(s) of substance.dissolves in:100 parts of solvent.,DFQUBYCHLQAFOW-NSCUHMNNSA-N
"2,5,7-trimethyl-4a,7,8,8a-tetrahydro-2H,5H-pyrano[4,3-b]pyran-3-carboxylic acid; 2,5,7-Trimethyl-4a,7,8,8a-tetrahydro-2H,5H-pyrano[4,3-b]pyran-3-carbonsaeure",CC1CC2OC(C)C(=CC2C(C)O1)C(O)=O,226.273,873976-78-4,2500,15,Article; Badoche; Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences; vol. 214; (1942); p. 845;,H2O,100 g solvent dissolves. 0.25 g Substance.,DLAHRDQAXWJPRP-UHFFFAOYSA-N
"(2R,2S)-2-hydroxypropanoic acid, 2-propyloxy-(1R,1S)-1-methyl-2-oxoethylester; 2-lactoyloxy-propionic acid propyl ester; 2-Lactoyloxy-propionsaeure-propylester",CCCOC(=O)C(C)OC(=O)C(C)O,204.223,,22000,25,Article; Rehberg; Dixon; Journal of the American Chemical Society; vol. 74; (1952); p. 1609;,H2O,1000 g solvent dissolves. 22 g Substance.,DMYRIJDVSHRAQO-UHFFFAOYSA-N
"1,2,3-tristhiocyanatopropane; 1,2,3-tris-thiocyanato-propane; 1,2,3-Tris-thiocyanato-propan; Glycerin-trirhodanhydrin; Tris-<1,2,3-thiocyanato>-propan",N#CSCC(CSC#N)SC#N,215.324,24487-40-9,2500,13,Article; Henry; Chemische Berichte; vol. 2; (1869); p. 637;,H2O,1 part(s) of substance.dissolves in:400 parts of solvent.,DNFIEAXZRIFMMN-UHFFFAOYSA-N
N-ethyl-N-o-tolyl-urea; N-Aethyl-N-o-tolyl-harnstoff; N-Ethyl-N-o-tolylharnstoff,CCN(C(N)=O)C1=CC=CC=C1C,178.234,20722-63-8,110326.85,25,"Article; Hjort et al.; vol. 55; (1935); p. 152,172;",H2O,1000 g solvent dissolves. 0.619 Mol Substance.,DVVVPMHPSRJZQX-UHFFFAOYSA-N
2-ethyl-3-chloro-crotonic acid; 2-Aethyl-3-chlor-crotonsaeure,CCC(C(O)=O)=C(C)Cl,148.589,,3333.33,12,Article; Isbert; Justus Liebigs Annalen der Chemie; vol. 234; (1886); p. 181;,H2O,1 part(s) of substance.dissolves in:300 parts of solvent.; isomer(ic) II,FPWFWBPIQIMKSD-UHFFFAOYSA-N
"O2,O5;O4,O6-dimethanediyl-1-deoxy-L-mannitol; O2,O5;O4,O6-Dimethandiyl-1-desoxy-L-mannit; O2,O5;O4,O6-Dimethandiyl-1-desoxy-L-mannit; (l-Rhamnit)-dimethylenaether; 1,3:2,5-Di-O-methylen-L-rhamnitol",[H][C@]12COCO[C@]1([H])[C@@H](O)[C@H](C)OCO2,190.196,55645-89-1,52083.33,11,Article; Weber; Tollens; Chemische Berichte; vol. 30; (1897); p. 2513; Justus Liebigs Annalen der Chemie; vol. 299; (1898); p. 335;,H2O,1 part(s) of substance.dissolves in:19.2 parts of solvent.,FVGWXQIRZLHDBO-XAMCCFCMSA-N
2-ethyl-3-allyl-succinic acid; 2-Aethyl-3-allyl-bernsteinsaeure,CCC(C(CC=C)C(O)=O)C(O)=O,186.208,,9090.91,20,Article; Hjelt; Chemische Berichte; vol. 25; (1892); p. 490;,H2O,1 part(s) of substance.dissolves in:110 parts of solvent.; high-melting alpha-ethyl-alpha'-allyl-succinic acid,FYOQTUXERSSXPY-UHFFFAOYSA-N
N-(4-nitro-toluene-2-sulfonyl)-glycine; N-(4-Nitro-toluol-2-sulfonyl)-glycin; 2-Methyl-5-nitrobenzolsulfonylglycin,CC1=CC=C(C=C1S(=O)(=O)NCC(O)=O)N(=O)=O,274.254,67320-39-2,1347.71,12,Article; Siegfried; Hoppe-Seyler's Zeitschrift fuer Physiologische Chemie; vol. 43; (1904); p. 68;,H2O,1 part(s) of substance.dissolves in:742 parts of solvent.,GISWIXLYKWWBTE-UHFFFAOYSA-N
"(+/-)-2r,6c-dimethyl-tetrahydro-pyran-3t(?)-carboxylic acid; (+/-)-2r,6c-Dimethyl-tetrahydro-pyran-3t(?)-carbonsaeure",C[C@@H]1CC[C@H]([C@H](C)O1)C(O)=O,158.197,,50000,20,"Article; Delepine; Badoche; Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences; vol. 211; (1940); p. 745,746;",H2O,100 g solvent dissolves. 5 g Substance.,GOVVUUCJQWJOEG-DSYKOEDSSA-N
5-Amino-4-iminoallantoin; (4-amino-5-imino-2-oxo-imidazolidin-4-yl)-urea; (4-Amino-5-imino-2-oxo-imidazolidin-4-yl)-harnstoff,NC(=O)NC1(N)NC(=O)NC1=N,172.147,133364-42-8,2500,16,"Article; Denicke; Justus Liebigs Annalen der Chemie; vol. 349; (1906); p. 286,287;",H2O,1 part(s) of substance.dissolves in:400 parts of solvent.,GYWFAACISAKPMW-UHFFFAOYSA-N
diethyl-thallium(1+); nitrate; Diaethyl-thallium(1+); Nitrat; Diethyl-thallium-nitrat; Diethylthalliumnitrat,CC[Tl](CC)ON(=O)=O,324.511,34300-40-8,31900,25,Article; Hartwig; Justus Liebigs Annalen der Chemie; vol. 176; (1875); p. 276;,H2O,3.19 part(s) of substance.dissolves in:100 parts of solvent.,HNEKFBBKDMVNOW-UHFFFAOYSA-N
2-hydroxymethyl-6-isopropyl-3-methyl-cyclohexanone; 2-Hydroxymethyl-6-isopropyl-3-methyl-cyclohexanon; 2-hydroxymethylmenthone,CC(C)C1CCC(C)C(CO)C1=O,184.279,58488-07-6,12500,25,Article; Rupe; Gubler; Helvetica Chimica Acta; vol. 9; (1926); p. 587;,H2O,1 part(s) of substance.dissolves in:80 parts of solvent.,HNIXJWGXJSXUMR-UHFFFAOYSA-N
hexahydrotyrosine; (S)-2-amino-3-(4-hydroxy-cyclohexyl)-propionic acid; (S)-2-Amino-3-(4-hydroxy-cyclohexyl)-propionsaeure,N[C@@H](CC1CCC(O)CC1)C(O)=O,187.239,4441-51-4,83333.33,18,Article; Waser; Brauchli; Helvetica Chimica Acta; vol. 7; (1924); p. 755;,H2O,1 part(s) of substance.dissolves in:12 parts of solvent.,HUGAWXCWXHSPBW-RRQHEKLDSA-N
"(4,5-diamino-5-hydroxy-2-oxo-imidazolidin-4-yl)-urea; (4,5-Diamino-5-hydroxy-2-oxo-imidazolidin-4-yl)-harnstoff; Diaminooxalyldiureid",NC(=O)NC1(N)NC(=O)NC1(N)O,190.162,857977-45-8,6060.61,16,"Article; Denicke; Justus Liebigs Annalen der Chemie; vol. 349; (1906); p. 286,287;",H2O,1 part(s) of substance.dissolves in:165 parts of solvent.,HVJZCQCRTYMAEE-UHFFFAOYSA-N
"8-amino-4-hydroxyphthalazin-1(2H)-one; 5-amino-2,3-dihydro-phthalazine-1,4-dione; Luminol",NC1=C2C(=O)NN=C(O)C2=CC=C1,177.162,521-31-3,4,25,"Article; Skripnikova, Tatiana A.; Lysova, Svetlana S.; Zevatskii, Yuriy E.; Myznikov, Leonid V.; Vorona, Svetlana V.; Artamonova, Tatiana V.; Journal of Molecular Structure; vol. 1154; (2018); p. 59 - 63;",water,Solubility: 0.0004 g/100g solvent,HWYHZTIRURJOHG-UHFFFAOYSA-N
"1-methyl-pyrrolidine-2,5-dicarboxylic acid; 1-Methyl-pyrrolidin-2,5-dicarbonsaeure; N-Methyl-pyrrolidin-2,5-dicarbonsaeure",CN1C(CCC1C(O)=O)C(O)=O,173.169,52321-05-8,62500,18.5,Article; Willstaetter; Lessing; Chemische Berichte; vol. 35; (1902); p. 2067;,H2O,1 part(s) of substance.dissolves in:16 parts of solvent.,IOQQUARBSGAWCJ-UHFFFAOYSA-N
2-cyano-benzenesulfonic acid anilide; 2-Cyan-benzolsulfonsaeure-anilid; o-Cyan-benzolsulfonsaeure-anilid; Benzonitril-o-sulfanilid; o-Cyan-benzolsulfanilid,O=S(=O)(NC1=CC=CC=C1)C1=C(C=CC=C1)C#N,258.301,69360-16-3,300.03,17.5,Article; Jesurun; Chemische Berichte; vol. 26; (1893); p. 2292;,H2O,1 part(s) of substance.dissolves in:3333 parts of solvent.,IQNKZUQUGOTVLG-UHFFFAOYSA-N
"tris-(2,2-diethoxy-ethyl)-amine; Tris-(beta.beta-diaethoxy-aethyl)-amin; Tris-(2,2-diaethoxy-aethyl)-amin; Triacetalyl-amin; Triacetalylamin",CCOC(CN(CC(OCC)OCC)CC(OCC)OCC)OCC,365.511,860573-65-5,13157.89,19,"Article; Wolff; Marburg; Justus Liebigs Annalen der Chemie; vol. 363; (1908); p. 192,194;",H2O,1 part(s) of substance.dissolves in:76 parts of solvent.,IVRVFBRQXLHRQQ-UHFFFAOYSA-N
(+/-)-threo-2.3-dihydroxy-lauric acid; (+/-)-threo-2.3-Dihydroxy-laurinsaeure,[H][C@@](O)(CCCCCCCCC)[C@]([H])(O)C(O)=O,232.32,105911-29-3,70,20,"Article; Breusch; Tulus; Istanbul Universitesi Fen Fakultesi Mecmuasi, Seri A: Matematik-Fizik-Kimya; vol. 12; (1947); p. 91; Chem.Abstr.; (1948); p. 6751;",H2O,Solubility :0.007 percent.,JJIJQULYODNGKJ-MNOVXSKESA-N
"5-isobutyl-5-propyl-pyrimidine-2,4,6-trione; 5-isobutyl-5-propyl-barbituric acid; 5-Isobutyl-5-propyl-barbitursaeure; C-iso-Butyl-C-n-propyl-barbitursaeure; 5-i-Butyl-5-propyl-barbitursaeure",CCCC1(CC(C)C)C(=O)NC(=O)NC1=O,226.276,33492-49-8,1250,20,Article; Sommaire; Bulletin de la Societe Chimique de France; vol. <4> 33; (1923); p. 195;,H2O,100 g solvent dissolves. 0.125 g Substance.,JKOZKFJTOIXANY-UHFFFAOYSA-N
isopropenyl-succinic acid; Isopropenyl-bernsteinsaeure,CC(=C)C(CC(O)=O)C(O)=O,158.154,87989-21-7,75600,15,Article; Fittig; Petkow; Justus Liebigs Annalen der Chemie; vol. 304; (1899); p. 222;,H2O,7.56 part(s) of substance.dissolves in:100 parts of solvent.,JUJVFYCXJFWVJY-UHFFFAOYSA-N
n-nonyl beta-D-maltoside; nonyl beta-D-maltoside; Mal-9,CCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,468.542,106402-05-5,331700,25,"Article; Li, Zhencao; Chen, Guoyong; Chen, Langqiu; Zhang, Yanhua; Dai, Zhiyong; Journal of Surfactants and Detergents; vol. 22; 4; (2019);",water,Solubility: 33.17 g/100g solvent,KCCBGPCYGBPHBR-ZESVGKPKSA-N
D-dilactylic acid diamide; D-Dilactylsaeure-diamid,[H][C@](C)(O[C@]([H])(C)C(N)=O)C(N)=O,160.173,5460-66-2; 20753-84-8; 20753-85-9; 28619-39-8,80000,17,"Article; Vieles; Annales de Chimie (Cachan, France); vol. <11>3; (1935); p. 156,170,173; Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences; vol. 198; (1934); p. 2103;",H2O,Solubility :8.0 percent.,KJEBMDAJDLDHPX-QWWZWVQMSA-N
"1,4,4-trimethyl-2,6-dioxo-piperidine-3,5-dicarbonitrile; 1,4,4-Trimethyl-2,6-dioxo-piperidin-3,5-dicarbonitril",CN1C(=O)C(C#N)C(C)(C)C(C#N)C1=O,205.216,64759-37-1,1400,11,Article; Guareschi; Chemisches Zentralblatt; vol. 72; I; (1901); p. 578;,H2O,0.14 part(s) of substance.dissolves in:100 parts of solvent.,KNBSLSSGAKCMGF-UHFFFAOYSA-N
"phthalic acid bis-(2,2,2-trinitro-ethyl ester); Phthalsaeure-bis-(2,2,2-trinitro-aethylester)",O=C(OCC(N(=O)=O)(N(=O)=O)N(=O)=O)C1=C(C=CC=C1)C(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O,492.226,6093-30-7,130,20,Patent; Nitroglycerin A.B.; DE934694; (1952);,H2O,Solubility :0.013 percent.,KPHWKKRARXZEEU-UHFFFAOYSA-N
